,Article Title,Article Link,Fake
0,Up to 20 people are injured with some fighting for life after a volcano erupts off the coast of New Zealand - as horrifying photos show tour group INSIDE the crater moments before it blew,https://www.dailymail.co.uk/ushome/index.html/news/article-7770695/Volcano-erupts-coast-New-Zealand.html,0
1,"Boyfriend carved his name into his girlfriend's forehead and punched her in the face 10 times, breaking her jaw after they met on Facebook",https://www.dailymail.co.uk/ushome/index.html/news/article-7770159/Man-19-punches-girlfriend-face-10-times-carving-forehead.html,0
2,"That's good, fellas! Mafia finally allows gay men to join after it emerges mob chief's son is living as drag queen",https://www.dailymail.co.uk/ushome/index.html/news/article-7770719/Mafia-allows-gay-men-join-emerges-mob-chiefs-son-living-drag-queen.html,0
3,Trump warns Kim Jong-un he has 'everything to lose if North Korea doesn't denuclearize as promised' hours after Pyongyang conducted 'very significant' test,https://www.dailymail.co.uk/ushome/index.html/news/article-7770541/Trump-warns-Kim-Jong-lose-North-Korea-doesnt-denuclearize-promised.html,0
4,Nevada man's DNA changes after bone marrow transplant and is replaced by that of his German donor following treatment for leukemia,https://www.dailymail.co.uk/ushome/index.html/news/article-7769433/Nevada-mans-DNA-changes-bone-marrow-transplant-replaced-German-donor.html,0
5,Get fit in 15 minutes: The best exercise for getting a good cardio workout in a small space ,https://www.dailymail.co.uk/ushome/index.html/femail/article-7769605/Get-fit-15-minutes-best-exercise-getting-good-cardio-workout-small-space.html,0
6,Joe Biden defends calling an elderly Iowa voter a 'damn liar' after being told he sent his son to work in Ukraine - as irate former VP wags his finger and tells a reporter: 'Don't compare me to Trump',https://www.dailymail.co.uk/ushome/index.html/news/article-7769985/Joe-Biden-defends-calling-elderly-voter-damn-liar-former-VP-loses-cool-reporter.html,0
7,"Sesame Street puppeteer Caroll Spinney, who gave life to Big Bird and Oscar the Grouch, dies at age 85",https://www.dailymail.co.uk/ushome/index.html/news/article-7769647/Sesame-Street-puppeteer-Carroll-Spinney-dies-age-85.html,0
8,Russia braced for blanket Olympic ban over doping with athletes set to be frozen out and nation prevented from hosting major international events,https://www.dailymail.co.uk/ushome/index.html/sport/olympics-2020/article-7769859/Russia-braced-blanket-Olympic-ban-doping-athletes-set-froze-out.html,0
9,"Actor Rene Auberjonois, best known for his roles in Star Trek, Boston Legal and  M*A*S*H, dies at his LA home, aged 79, after battle with lung cancer ",https://www.dailymail.co.uk/ushome/index.html/news/article-7770335/Rene-Auberjonois-Star-Trek-Boston-Legal-Actor-Dies-79.html,0
