,title,author,label
1,"FLYNN: Hillary Clinton, Big Woman on Campus - Breitbart",Daniel J. Flynn,0
5,Jackie Mason: Hollywood Would Love Trump if He Bombed North Korea over Lack of Trans Bathrooms (Exclusive Video) - Breitbart,Daniel Nussbaum,0
7,Benoît Hamon Wins French Socialist Party’s Presidential Nomination - The New York Times,Alissa J. Rubin,0
8,Excerpts From a Draft Script for Donald Trump’s Q&ampA With a Black Church’s Pastor - The New York Times,,0
9,"A Back-Channel Plan for Ukraine and Russia, Courtesy of Trump Associates - The New York Times",Megan Twohey and Scott Shane,0
10,Obama’s Organizing for Action Partners with Soros-Linked ‘Indivisible’ to Disrupt Trump’s Agenda,Aaron Klein,0
11,"BBC Comedy Sketch ""Real Housewives of ISIS"" Causes Outrage",Chris Tomlinson,0
15,"In Major League Soccer, Argentines Find a Home and Success - The New York Times",Jack Williams,0
16,Wells Fargo Chief Abruptly Steps Down - The New York Times,Michael Corkery and Stacy Cowley,0
19,Chuck Todd: ’BuzzFeed Did Donald Trump a Political Favor’ - Breitbart,Jeff Poor,0
21,"Monica Lewinsky, Clinton Sex Scandal Set for ’American Crime Story’",Jerome Hudson,0
22,Rob Reiner: Trump Is ’Mentally Unstable’ - Breitbart,Pam Key,0
24,Abortion Pill Orders Rise in 7 Latin American Nations on Zika Alert - The New York Times,Donald G. McNeil Jr. and Pam Belluck,0
26,EXCLUSIVE: Islamic State Supporters Vow to ‘Shake’ the West Following Manchester Terrorist Massacre - Breitbart,Aaron Klein and Ali Waked,0
28,Andrea Tantaros of Fox News Claims Retaliation for Sex Harassment Complaints - The New York Times,Jim Dwyer,0
29,How Hillary Clinton Became a Hawk - The New York Times,Mark Landler,0
30,Chuck Todd to BuzzFeed EIC: ’You Just Published Fake News’ - Breitbart,Ian Hanchett,0
32,"Having Won, Boris Johnson and ‘Brexit’ Leaders Fumble - The New York Times",Steven Erlanger,0
33,"Texas Oil Fields Rebound From Price Lull, but Jobs Are Left Behind - The New York Times",Clifford Krauss,0
34,"Bayer Deal for Monsanto Follows Agribusiness Trend, Raising Worries for Farmers - The New York Times","Leslie Picker, Danny Hakim and Michael J. de la Merced",0
35,Russia Moves to Ban Jehovah’s Witnesses as ‘Extremist’ - The New York Times,Andrew Higgins,0
38,Democrat Gutierrez Blames Chicago’s Gun Violence on NRA - Breitbart,AWR Hawkins,0
39,Avoiding Peanuts to Avoid an Allergy Is a Bad Strategy for Most - The New York Times,Aaron E. Carroll,0
40,MRI Shows Detailed Images of 20-Week Unborn Babies - Breitbart,Dr. Susan Berry,0
42,Ryan Lochte Dropped by Speedo USA and Other Retailers - The New York Times,Katie Rogers,0
44,Conservatives Urge Sessions to Clean Out Obama’s Civil Rights Division - Breitbart,Ian Mason,0
45,Internal Inquiry Sealed the Fate of Roger Ailes at Fox - The New York Times,"Jim Rutenberg, Ben Protess and Emily Steel",0
48,"Samsung, After Combustible Galaxy Note 7, Unveils New Smartphone - The New York Times",Brian X. Chen,0
49,Poland Vows Referendum on Migrant Quota Amidst EU Pressure: ’The Public’s Voice Will Be Heard’ - Breitbart,Virginia Hale,0
52,Study: More Than Half of Car Crashes Involve Drivers Distracted by Cell Phones - Breitbart,Nate Church,0
59,Mindful Eating as Way to Fight Bingeing - The New York Times,Jeff Gordinier,0
60,The Major Potential Impact of a Corporate Tax Overhaul - The New York Times,Neil Irwin,0
62,3 Makers of World’s Smallest Machines Awarded Nobel Prize in Chemistry - The New York Times,Kenneth Chang and Sewell Chan,0
64,"Review: ‘Lion’ Brings Tears for a Lost Boy, Wiped Dry by Google - The New York Times",A. O. Scott,0
65,U.S. General: Islamic State Chemical Attack Had ’No Impact’ on U.S. Forces,Kristina Wong,0
68,Pence Will Speak at Anti-Abortion Rally - The New York Times,Jeremy W. Peters,0
72,Dress Like a Woman? What Does That Mean? - The New York Times,Jacey Fortin,0
73,"At 91, Ella Brennan Still Feeds (and Leads) New Orleans - The New York Times",Brett Anderson,0
74,"Pressing Asia Agenda, Obama Treads Lightly on Human Rights - The New York Times",Jane Perlez,0
75,Democrats Have a 60 Percent Chance to Retake the Senate - The New York Times,Josh Katz,0
78,51 U.S. Diplomats Urge Strikes Against Assad in Syria - The New York Times,Mark Landler,0
79,Franken Calls for ’Independent Investigation’ Into Trump’s ’Putin Crush’ - Breitbart,Pam Key,0
80,"Louisiana, Simone Biles, U.S. Presidential Race: Your Tuesday Evening Briefing - The New York Times",Andrea Kannapell and Sandra Stevenson,0
81,Turkey Threatens to Open Migrant ’Land Passage’ to Europe After Row With Dutch,Breitbart London,0
84,Trump’s Immigration Policies Explained - The New York Times,"Nicholas Kulish, Vivian Yee, Caitlin Dickerson, Liz Robbins, Fernanda Santos and Jennifer Medina",0
85,Mary Tyler Moore Is Mourned by Dick Van Dyke and Other Stars - The New York Times,Niraj Chokshi and Liam Stack,0
